,location,size,total_sqft,bath,price,bhk,price_per_sqft
0,Electronic City Phase II,2 BHK,1056.0,2.0,39.07,2,3699
4,Kothanur,2 BHK,1200.0,2.0,51.0,2,4250
5,Whitefield,2 BHK,1170.0,2.0,38.0,2,3247
12,7th Phase JP Nagar,2 BHK,1000.0,2.0,38.0,2,3800
13,Gottigere,2 BHK,1100.0,2.0,40.0,2,3636
15,Mysore Road,2 BHK,1175.0,2.0,73.5,2,6255
19,other,2 BHK,1100.0,2.0,48.0,2,4363
20,Kengeri,1 BHK,600.0,1.0,15.0,1,2500
24,Thanisandra,1 RK,510.0,1.0,25.25,1,4950
26,Electronic City,2 BHK,660.0,1.0,23.1,2,3500
28,Ramagondanahalli,2 BHK,1151.0,2.0,48.77,2,4237
35,Kanakpura Road,2 BHK,700.0,2.0,36.0,2,5142
36,Electronics City Phase 1,2 BHK,1070.0,2.0,45.5,2,4252
39,Uttarahalli,2 BHK,1143.0,2.0,45.0,2,3937
40,Murugeshpalya,2 BHK,1296.0,2.0,81.0,2,6250
42,other,1 BHK,600.0,1.0,38.0,1,6333
43,Yelahanka,1 Bedroom,660.0,1.0,48.0,1,7272
44,Kanakpura Road,2 BHK,1330.74,2.0,91.79,2,6897
46,Doddathoguru,2 BHK,970.0,2.0,33.0,2,3402
47,Whitefield,2 BHK,1459.0,2.0,94.82,2,6498
48,KR Puram,2 Bedroom,800.0,1.0,130.0,2,16250
49,other,2 BHK,869.0,2.0,36.0,2,4142
50,other,2 BHK,1270.0,2.0,50.0,2,3937
53,Lakshminarayana Pura,2 BHK,1185.0,2.0,75.0,2,6329
55,Begur Road,2 BHK,1200.0,2.0,44.0,2,3666
56,other,2 BHK,1500.0,2.0,185.0,2,12333
58,other,2 BHK,840.0,2.0,45.0,2,5357
60,other,2 BHK,845.0,2.0,55.0,2,6508
62,Varthur,2 BHK,1160.0,2.0,44.0,2,3793
64,Doddathoguru,2 BHK,1100.0,2.0,62.0,2,5636
65,Gunjur,2 BHK,1140.0,2.0,43.0,2,3771
66,Marathahalli,2 BHK,1220.0,2.0,57.0,2,4672
68,Kanakpura Road,2 BHK,1005.0,2.0,36.68,2,3649
70,Begur Road,2 BHK,1358.0,2.0,80.58,2,5933
72,Haralur Road,2 BHK,1240.0,2.0,70.0,2,5645
74,Kothannur,2 BHK,1206.0,2.0,48.23,2,3999
75,Kalena Agrahara,2 BHK,1150.0,2.0,40.0,2,3478
77,Kaval Byrasandra,2 BHK,460.0,1.0,22.0,2,4782
80,Yelahanka,2 BHK,1326.0,2.0,78.0,2,5882
